variante,tamanho_chunk,N,K,numero_threads,tempo
2,16,100000,28,8,3.312516
2,16,100000,28,8,3.310725
2,16,100000,28,8,3.326553
2,16,100000,28,8,3.314355
2,16,100000,28,16,3.311784
2,16,100000,28,16,3.328328
2,16,100000,28,16,3.317693
2,16,100000,28,16,3.311569
2,16,100000,28,16,3.326401
2,16,500000,20,1,0.767999
2,16,500000,20,1,0.735043
2,16,500000,20,1,0.735976
2,16,500000,20,1,0.736710
2,16,500000,20,1,0.735806
2,16,500000,20,2,0.400913
2,16,500000,20,2,0.391695
2,16,500000,20,2,0.433984
2,16,500000,20,2,0.483150
2,16,500000,20,2,0.473295
2,16,500000,20,4,0.455458
2,16,500000,20,4,0.455103
2,16,500000,20,4,0.455649
2,16,500000,20,4,0.454002
2,16,500000,20,4,0.469978
2,16,500000,20,8,0.454784
2,16,500000,20,8,0.455927
2,16,500000,20,8,0.453666
2,16,500000,20,8,0.455304
2,16,500000,20,8,0.454384
2,16,500000,20,16,0.454663
2,16,500000,20,16,0.455014
2,16,500000,20,16,0.454816
2,16,500000,20,16,0.455835
2,16,500000,20,16,0.455197
2,16,500000,24,1,4.639570
2,16,500000,24,1,4.428542
2,16,500000,24,1,4.836592
2,16,500000,24,1,4.609404
2,16,500000,24,1,4.726446
2,16,500000,24,2,2.588992
2,16,500000,24,2,2.551086
2,16,500000,24,2,2.499609
2,16,500000,24,2,2.706761
2,16,500000,24,2,2.590932
2,16,500000,24,4,2.732117
2,16,500000,24,4,2.739167
2,16,500000,24,4,2.733026
2,16,500000,24,4,2.748692
2,16,500000,24,4,2.733431
2,16,500000,24,8,2.742273
2,16,500000,24,8,2.751923
2,16,500000,24,8,2.737074
2,16,500000,24,8,2.741622
2,16,500000,24,8,2.739931
2,16,500000,24,16,2.752541
2,16,500000,24,16,2.737726
2,16,500000,24,16,2.742702
2,16,500000,24,16,2.738587
2,16,500000,24,16,2.762585
2,16,500000,28,1,28.518391
2,16,500000,28,1,29.730747
2,16,500000,28,1,26.700109
2,16,500000,28,1,29.894758
2,16,500000,28,1,29.522729
2,16,500000,28,2,15.356287
2,16,500000,28,2,15.558568
2,16,500000,28,2,16.092479
2,16,500000,28,2,16.268445
2,16,500000,28,2,16.159502
2,16,500000,28,4,16.534813
2,16,500000,28,4,16.525817
2,16,500000,28,4,16.570346
2,16,500000,28,4,16.522061
2,16,500000,28,4,16.517586
2,16,500000,28,8,16.565059
2,16,500000,28,8,16.556051
2,16,500000,28,8,16.840674
2,16,500000,28,8,16.572212
2,16,500000,28,8,16.598093
2,16,500000,28,16,16.575137
2,16,500000,28,16,16.588668
2,16,500000,28,16,16.597925
2,16,500000,28,16,16.574227
2,16,500000,28,16,16.580600
2,16,1000000,20,1,1.593929
2,16,1000000,20,1,1.471900
2,16,1000000,20,1,1.685653
2,16,1000000,20,1,1.570368
2,16,1000000,20,1,1.756299
2,16,1000000,20,2,0.814301
2,16,1000000,20,2,0.793475
2,16,1000000,20,2,0.923536
2,16,1000000,20,2,0.895291
2,16,1000000,20,2,0.780505
2,16,1000000,20,4,0.816256
2,16,1000000,20,4,0.908545
2,16,1000000,20,4,0.907666
2,16,1000000,20,4,0.923106
2,16,1000000,20,4,0.909219
2,16,1000000,20,8,0.908859
2,16,1000000,20,8,0.907968
2,16,1000000,20,8,0.909024
2,16,1000000,20,8,0.911940
2,16,1000000,20,8,0.909038
2,16,1000000,20,16,0.907723
2,16,1000000,20,16,0.908525
2,16,1000000,20,16,0.908539
2,16,1000000,20,16,0.909465
2,16,1000000,20,16,0.922650
2,16,1000000,24,1,8.980354
